"date","pt","percent_dose_1","percent_dose_2","percent_dose_3"
2020-12-19,"Newfoundland and Labrador",0.19,0,NA
2020-12-19,"Nova Scotia",0.11,0,NA
2020-12-19,"Quebec",0.06,0,NA
2020-12-19,"Manitoba",0.06,0,NA
2020-12-19,"Saskatchewan",0.09,0,NA
2020-12-19,"British Columbia",0.07,0,NA
2020-12-19,"Yukon",0,0,NA
2020-12-19,"Northwest Territories",0,0,NA
2020-12-19,"Nunavut",0,0,NA
2020-12-26,"Newfoundland and Labrador",0.34,0,NA
2020-12-26,"Prince Edward Island",0.72,0,NA
2020-12-26,"Nova Scotia",0.23,0,NA
2020-12-26,"New Brunswick",0.33,0,NA
2020-12-26,"Quebec",0.2,0,NA
2020-12-26,"Manitoba",0.16,0,NA
2020-12-26,"Saskatchewan",0.15,0,NA
2020-12-26,"Alberta",0.11,0,NA
2020-12-26,"British Columbia",0.24,0,NA
2020-12-26,"Yukon",0,0,NA
2020-12-26,"Northwest Territories",0,0,NA
2020-12-26,"Nunavut",0,0,NA
2021-01-02,"Newfoundland and Labrador",0.34,0,NA
2021-01-02,"Prince Edward Island",1.05,0,NA
2021-01-02,"Nova Scotia",0.28,0,NA
2021-01-02,"New Brunswick",0.37,0,NA
2021-01-02,"Quebec",0.33,NA,NA
2021-01-02,"Manitoba",0.25,0,NA
2021-01-02,"Saskatchewan",0.3,0,NA
2021-01-02,"Alberta",0.3,0,NA
2021-01-02,"British Columbia",0.48,0,NA
2021-01-02,"Yukon",0,0,NA
2021-01-02,"Northwest Territories",0.27,0,NA
2021-01-02,"Nunavut",0,0,NA
2021-01-09,"Newfoundland and Labrador",0.55,0.16,NA
2021-01-09,"Prince Edward Island",1.51,0,NA
2021-01-09,"Nova Scotia",0.28,0.11,NA
2021-01-09,"New Brunswick",0.79,0,NA
2021-01-09,"Quebec",0.97,NA,NA
2021-01-09,"Manitoba",0.63,0.06,NA
2021-01-09,"Saskatchewan",0.47,0.08,NA
2021-01-09,"Alberta",1,0.02,NA
2021-01-09,"British Columbia",1.15,0,NA
2021-01-09,"Yukon",1.15,0,NA
2021-01-09,"Northwest Territories",1.18,0,NA
2021-01-09,"Nunavut",0.05,0,NA
2021-01-16,"Newfoundland and Labrador",0.82,0.33,NA
2021-01-16,"Prince Edward Island",2.61,0.84,NA
2021-01-16,"Nova Scotia",0.58,0.22,NA
2021-01-16,"New Brunswick",1,0.33,NA
2021-01-16,"Quebec",1.69,NA,NA
2021-01-16,"Ontario",1.28,0.07,NA
2021-01-16,"Manitoba",1.19,0.15,NA
2021-01-16,"Saskatchewan",1.21,0.15,NA
2021-01-16,"Alberta",1.84,0.09,NA
2021-01-16,"British Columbia",1.72,0,NA
2021-01-16,"Yukon",3.05,0,NA
2021-01-16,"Northwest Territories",4.35,0,NA
2021-01-16,"Nunavut",5.43,0,NA
2021-01-23,"Newfoundland and Labrador",1.43,0.33,NA
2021-01-23,"Prince Edward Island",3.17,1.15,NA
2021-01-23,"Nova Scotia",0.84,0.27,NA
2021-01-23,"New Brunswick",1.46,0.36,NA
2021-01-23,"Quebec",2.54,NA,NA
2021-01-23,"Ontario",1.68,0.21,NA
2021-01-23,"Manitoba",1.87,0.25,NA
2021-01-23,"Saskatchewan",2.01,0.21,NA
2021-01-23,"Alberta",2.02,0.21,NA
2021-01-23,"British Columbia",2.27,0.06,NA
2021-01-23,"Yukon",9.2,0,NA
2021-01-23,"Northwest Territories",21.79,0,NA
2021-01-23,"Nunavut",11.29,0,NA
2021-01-30,"Newfoundland and Labrador",1.6,0.53,NA
2021-01-30,"Prince Edward Island",3.21,1.56,NA
2021-01-30,"Nova Scotia",1.22,0.28,NA
