"date","pt","dose","coverage"
2020-12-19,"Newfoundland and Labrador","dose_1",0.19
2020-12-19,"Newfoundland and Labrador","dose_2",0
2020-12-19,"Nova Scotia","dose_1",0.11
2020-12-19,"Nova Scotia","dose_2",0
2020-12-19,"Quebec","dose_1",0.06
2020-12-19,"Quebec","dose_2",0
2020-12-19,"Manitoba","dose_1",0.06
2020-12-19,"Manitoba","dose_2",0
2020-12-19,"Saskatchewan","dose_1",0.09
2020-12-19,"Saskatchewan","dose_2",0
2020-12-19,"British Columbia","dose_1",0.07
2020-12-19,"British Columbia","dose_2",0
2020-12-19,"Yukon","dose_1",0
2020-12-19,"Yukon","dose_2",0
2020-12-19,"Northwest Territories","dose_1",0
2020-12-19,"Northwest Territories","dose_2",0
2020-12-19,"Nunavut","dose_1",0
2020-12-19,"Nunavut","dose_2",0
2020-12-26,"Newfoundland and Labrador","dose_1",0.34
2020-12-26,"Newfoundland and Labrador","dose_2",0
2020-12-26,"Prince Edward Island","dose_1",0.72
2020-12-26,"Prince Edward Island","dose_2",0
2020-12-26,"Nova Scotia","dose_1",0.23
2020-12-26,"Nova Scotia","dose_2",0
2020-12-26,"New Brunswick","dose_1",0.33
2020-12-26,"New Brunswick","dose_2",0
2020-12-26,"Quebec","dose_1",0.2
2020-12-26,"Quebec","dose_2",0
2020-12-26,"Manitoba","dose_1",0.16
2020-12-26,"Manitoba","dose_2",0
2020-12-26,"Saskatchewan","dose_1",0.15
2020-12-26,"Saskatchewan","dose_2",0
2020-12-26,"Alberta","dose_1",0.11
2020-12-26,"Alberta","dose_2",0
2020-12-26,"British Columbia","dose_1",0.24
2020-12-26,"British Columbia","dose_2",0
2020-12-26,"Yukon","dose_1",0
2020-12-26,"Yukon","dose_2",0
2020-12-26,"Northwest Territories","dose_1",0
2020-12-26,"Northwest Territories","dose_2",0
2020-12-26,"Nunavut","dose_1",0
2020-12-26,"Nunavut","dose_2",0
2021-01-02,"Newfoundland and Labrador","dose_1",0.34
2021-01-02,"Newfoundland and Labrador","dose_2",0
2021-01-02,"Prince Edward Island","dose_1",1.05
2021-01-02,"Prince Edward Island","dose_2",0
2021-01-02,"Nova Scotia","dose_1",0.28
2021-01-02,"Nova Scotia","dose_2",0
2021-01-02,"New Brunswick","dose_1",0.37
2021-01-02,"New Brunswick","dose_2",0
2021-01-02,"Quebec","dose_1",0.33
2021-01-02,"Manitoba","dose_1",0.25
2021-01-02,"Manitoba","dose_2",0
2021-01-02,"Saskatchewan","dose_1",0.3
2021-01-02,"Saskatchewan","dose_2",0
2021-01-02,"Alberta","dose_1",0.3
2021-01-02,"Alberta","dose_2",0
2021-01-02,"British Columbia","dose_1",0.48
2021-01-02,"British Columbia","dose_2",0
2021-01-02,"Yukon","dose_1",0
2021-01-02,"Yukon","dose_2",0
2021-01-02,"Northwest Territories","dose_1",0.27
2021-01-02,"Northwest Territories","dose_2",0
2021-01-02,"Nunavut","dose_1",0
2021-01-02,"Nunavut","dose_2",0
2021-01-09,"Newfoundland and Labrador","dose_1",0.55
2021-01-09,"Newfoundland and Labrador","dose_2",0.16
2021-01-09,"Prince Edward Island","dose_1",1.51
2021-01-09,"Prince Edward Island","dose_2",0
2021-01-09,"Nova Scotia","dose_1",0.28
2021-01-09,"Nova Scotia","dose_2",0.11
2021-01-09,"New Brunswick","dose_1",0.79
2021-01-09,"New Brunswick","dose_2",0
2021-01-09,"Quebec","dose_1",0.97
2021-01-09,"Manitoba","dose_1",0.63
2021-01-09,"Manitoba","dose_2",0.06
2021-01-09,"Saskatchewan","dose_1",0.47
2021-01-09,"Saskatchewan","dose_2",0.08
2021-01-09,"Alberta","dose_1",1
2021-01-09,"Alberta","dose_2",0.02
2021-01-09,"British Columbia","dose_1",1.15
2021-01-09,"British Columbia","dose_2",0
2021-01-09,"Yukon","dose_1",1.15
2021-01-09,"Yukon","dose_2",0
2021-01-09,"Northwest Territories","dose_1",1.18
2021-01-09,"Northwest Territories","dose_2",0
2021-01-09,"Nunavut","dose_1",0.05
2021-01-09,"Nunavut","dose_2",0
2021-01-16,"Newfoundland and Labrador","dose_1",0.82
2021-01-16,"Newfoundland and Labrador","dose_2",0.33
2021-01-16,"Prince Edward Island","dose_1",2.61
2021-01-16,"Prince Edward Island","dose_2",0.84
2021-01-16,"Nova Scotia","dose_1",0.58
2021-01-16,"Nova Scotia","dose_2",0.22
2021-01-16,"New Brunswick","dose_1",1
2021-01-16,"New Brunswick","dose_2",0.33
2021-01-16,"Quebec","dose_1",1.69
2021-01-16,"Ontario","dose_1",1.28
2021-01-16,"Ontario","dose_2",0.07
2021-01-16,"Manitoba","dose_1",1.19
2021-01-16,"Manitoba","dose_2",0.15
2021-01-16,"Saskatchewan","dose_1",1.21
2021-01-16,"Saskatchewan","dose_2",0.15
2021-01-16,"Alberta","dose_1",1.84
2021-01-16,"Alberta","dose_2",0.09
2021-01-16,"British Columbia","dose_1",1.72
2021-01-16,"British Columbia","dose_2",0
2021-01-16,"Yukon","dose_1",3.05
